	gene name	Aeropyrum pernix	Agrobacterium fabrum	Arabidopsis thaliana	Bacillus subtilis	Caenorhabditis elegans	Chlamydia felis	Dictyostelium discoideum	Drosophila melanogaster	Escherichia coli	Homo sapiens	Plasmodium falciparum	Staphylococcus aureus	Sulfolobus islandicus	Tetrahymena thermophila	Trypanosoma cruzi	Volvox carteri
0	YBR248C	-	-	+	-	-	-	-	-	-	-	-	-	-	-	-	+
0	YBR248C	-	-	+	-	-	-	-	-	-	-	-	-	-	-	-	+
0	YGL163C	-	-	+	-	+	-	+	+	-	+	+	-	-	-	+	+
0	YGL253W	-	-	+	-	+	-	-	+	-	+	+	-	-	-	+	+
0	YGR098C	-	-	+	-	+	-	-	+	-	+	-	-	-	+	+	+
0	YGR143W	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
0	YHR008C	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+
0	YHR049W	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
